bus_id,bus,vmin_pu,vmax_pu
191,12973244,1.0033401774707762,1.01045786363568
258,13623117,1.0033998089324159,1.0102320113122165
239,13623088,1.0033998089324159,1.0102320113122165
4,9790970,1.0033998089324159,1.0102320113122165
193,10484937,1.0034125152684645,1.0102320113122165
94,12725183,1.0034125152684645,1.0102320113122165
14,12973133,1.003441393153646,1.01045786363568
15,10915895,1.003441393153646,1.01045786363568
246,11410018,1.003441393153646,1.01045786363568
178,13623087,1.0035069492626265,1.0102320113122165
141,13601748,1.003557535433256,1.01045786363568
256,11068335,1.0035823982673167,1.01045786363568
211,12971810,1.0036224830759772,1.01045786363568
17,12972223,1.0036467645847515,1.01045786363568
64,12972035,1.0036467645847515,1.01045786363568
138,11113663,1.0036467645847515,1.01045786363568
117,12308114,1.0036839507340596,1.01045786363568
127,12971481,1.0036883506683691,1.01045786363568
135,11730840,1.003736646816533,1.01045786363568
212,12970285,1.0037632102403446,1.01045786363568
104,9369083,1.0037643766135682,1.0102320113122165
171,9369084,1.0037682051303378,1.0102320113122165
259,12971246,1.0037756761310546,1.01045786363568
253,17874063,1.0037846441561327,1.0102320113122165
263,13485934,1.0037846441561327,1.0102320113122165
119,12807645,1.003880019208994,1.01045786363568
36,9369082,1.0039011072026978,1.010217424042448
222,10493341,1.003968651505903,1.01045786363568
25,12963305,1.0040066870121072,1.01045786363568
28,10932313,1.0040630183765031,1.01045786363568
45,12963201,1.0040879378916736,1.01045786363568
199,12156586,1.0041332705543153,1.01045786363568
243,13357787,1.0041527902606795,1.01045786363568
110,12963145,1.0041924799453512,1.01045786363568
26,9290728,1.0045536039533736,1.01045786363568
205,17855763,1.0049594199597078,1.01045786363568
89,9290727,1.0049696496375247,1.0104559914729256
113,13624269,1.0050334074365166,1.0104241561560368
126,13812808,1.0050380526644398,1.0104317140984878
52,12934967,1.0050586873342071,1.0104396967554006
238,9783449,1.0050586873342071,1.0104396967554006
188,14963904,1.0051023073886545,1.0104317140984878
241,12934968,1.0051599298740752,1.0104241561560368
134,13357796,1.0052462669214768,1.010217424042448
46,10652242,1.0053124135043388,1.0103961606753147
93,13485931,1.0053646668444758,1.010217424042448
84,12958003,1.0054338413335284,1.0103961606753147
174,12156592,1.0057386157502655,1.0104886330870715
155,12934954,1.0057685545657005,1.0104886330870715
157,12934965,1.005781066316342,1.0104886330870715
186,9356220,1.005781066316342,1.0104886330870715
38,12958438,1.005788920352719,1.0103664319159962
74,11729147,1.005788920352719,1.0103664319159962
167,12970287,1.005789614639467,1.0104886330870715
201,12817081,1.00583123346246,1.010217424042448
124,12993673,1.0058792985217548,1.010358865414245
23,12993671,1.0059099409753078,1.0103614341886689
81,9783454,1.0059516628986858,1.010357941291308
194,12958923,1.0059516628986858,1.010357941291308
153,13485937,1.0059748489508302,1.010217424042448
7,13601753,1.0059802899877646,1.0103458938494274
262,12959135,1.0060955698379912,1.0103458938494274
227,13485975,1.006111740017708,1.010217424042448
261,9638199,1.006111740017708,1.010217424042448
90,12327065,1.006582381031628,1.010217424042448
114,13485976,1.006582381031628,1.010217424042448
251,12959365,1.0065916232100907,1.0103105962496404
31,11068336,1.0065916232100907,1.0103105962496404
75,11278631,1.006909331654266,1.0101937223569244
206,13572881,1.0069184082789069,1.0101937223569244
21,13507545,1.0069233546020284,1.010217424042448
76,11650907,1.0069677197387603,1.0102749216679856
197,16419830,1.0069810313576826,1.0101937223569244
13,13485978,1.0069862768058013,1.010217424042448
61,13728130,1.0070265822692719,1.010217424042448
143,12970257,1.0070366115806957,1.0101937223569244
131,9783458,1.0070366115806957,1.0101937223569244
192,9739756,1.0070425676031107,1.010217424042448
177,13454737,1.0070425676031107,1.010217424042448
257,14746713,1.0070425676031107,1.010217424042448
180,9404445,1.0070425676031107,1.010217424042448
265,14711422,1.0070425676031107,1.010217424042448
148,14746710,1.0070425676031107,1.010217424042448
18,9739760,1.0070425676031107,1.010217424042448
123,9739974,1.0070515068168175,1.010217424042448
102,14756890,1.0070515068168175,1.010217424042448
111,14587801,1.0070747676617813,1.010217424042448
224,16670850,1.0070749194808442,1.0101937223569244
255,17855761,1.0070877047090168,1.0102752988384385
106,12317602,1.007092175009631,1.0101772639928406
125,12961574,1.0070929889002405,1.0102749216679856
142,14711416,1.0070960053075155,1.010180054964397
158,14755909,1.0070960053075155,1.010180054964397
16,13454780,1.0071049719279541,1.010217424042448
228,12317603,1.0071079331646395,1.010217424042448
147,13714731,1.0071105458905703,1.0101906498606377
183,14746714,1.0071144876788956,1.0101935220846405
