bus,distance_km,vA,vB,vC,vmin,vmax
13221578,0.0021304,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14499304,0.0167994,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
17439337,0.0190364,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13353838,0.020869400000000003,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10952569,0.0384414,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
11434169,0.0430274,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
11754850,0.0320374,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
12121550,0.0224894,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10952568,0.0254974,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10983375,0.0557064,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13353810,0.0203204,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13221540,0.0031184,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522891,0.0152204,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13215642,0.0112604,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10952551,0.0090404,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522889,0.010256399999999999,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
11022643,0.060364399999999985,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
12298311,0.0038063999999999997,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522887,0.0053484,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14499302,0.0528164,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10987352,0.0301074,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
sourcebusz,0.0,232.3003057502401,232.3003057502401,232.3003057502401,232.3003057502401,232.3003057502401
