rank,timestep,time,alpha_t,pv_bus,pv_kw_eff,base_vmin,base_vmax,pv_vmin,pv_vmax,stc_vmin,stc_vmax,d_pv_vmin,d_pv_vmax,d_stc_vmin,d_stc_vmax,base_Imax,pv_Imax,stc_Imax,base_I2r,pv_I2r,stc_I2r
19,4105,2023-03-27T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
20,4345,2023-04-01T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
21,4393,2023-04-02T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
22,4681,2023-04-08T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
23,4777,2023-04-10T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
24,4921,2023-04-13T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
25,5113,2023-04-17T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
26,5449,2023-04-24T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
27,5641,2023-04-28T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
28,5689,2023-04-29T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
29,5737,2023-04-30T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
30,5785,2023-05-01T12:00:00.0,0.3,11730481,10.0,0.9000655594009914,1.016240692317271,0.9130450123944731,1.1967628763429792,1.0563743703102448,1.1000000052052987,0.012979452993481688,0.18052218402570808,0.15630881090925342,0.08375931288802763,1.1039450474101355,0.5873331840577538,0.2946508132575112,0.6435242261194728,1.0,0.9999975372847347
