branch_id,f_bus,t_bus,s_from,rate,loading_pct
158,251,262,6.790834533114168e-5,,
13,29,176,6.006613960708112e-5,,
121,171,253,6.0059367540277586e-5,,
207,24,233,6.005666330052766e-5,,
39,233,163,6.0055490216928194e-5,,
42,178,171,6.0043735582520094e-5,,
44,239,178,6.003732495859554e-5,,
147,136,163,6.0032829727356196e-5,,
28,213,136,6.0030716276119674e-5,,
195,42,239,6.0030299774471495e-5,,
181,216,42,6.002191367620538e-5,,
106,14,191,6.001367996822052e-5,,
50,262,194,5.7939376022387735e-5,,
15,194,23,5.793108866031338e-5,,
24,124,23,5.792692131580723e-5,,
146,38,124,5.7921716586875954e-5,,
29,84,38,5.790126817478935e-5,,
59,104,253,5.0059280236742425e-5,,
60,176,58,5.005391856672222e-5,,
37,94,104,5.004173236785069e-5,,
193,58,248,5.004049718221368e-5,,
31,207,94,5.0026056727632234e-5,,
159,203,213,5.001984973528317e-5,,
122,244,216,5.00142075166028e-5,,
120,191,170,5.0011807270343854e-5,,
169,241,84,4.798034205891092e-5,,
151,50,248,4.0029235891376716e-5,,
68,53,50,4.0028416104951246e-5,,
41,140,53,4.001877913759606e-5,,
20,160,100,4.0017675709453404e-5,,
225,160,140,4.0017675709453404e-5,,
227,11,207,4.001374083951674e-5,,
248,100,2,4.001343159971297e-5,,
186,146,203,4.00126131136324e-5,,
98,2,107,4.0011641989692276e-5,,
150,159,244,4.000979724998254e-5,,
17,170,86,4.000804923297254e-5,,
115,86,175,4.000752692355717e-5,,
95,20,159,4.000333706887419e-5,,
258,188,241,3.8119277469168266e-5,,
210,78,248,3.0023013426225545e-5,,
140,247,146,3.0021068597582597e-5,,
83,79,78,3.001902396115359e-5,,
55,43,247,3.001746600546746e-5,,
105,198,43,3.0016379802821282e-5,,
16,164,198,3.001634943375626e-5,,
260,60,164,3.00162427717866e-5,,
236,254,60,3.0012423860230297e-5,,
47,232,254,3.001021642883383e-5,,
108,173,79,3.0009659750845905e-5,,
89,107,77,3.000882906276835e-5,,
191,187,173,3.0006822161947345e-5,,
161,71,11,3.0005856429122663e-5,,
228,48,187,3.0004568799297758e-5,,
230,175,195,3.000294403353863e-5,,
239,56,20,3.0001824458136872e-5,,
198,52,188,2.8359712054669673e-5,,
263,89,52,2.8357199680544912e-5,,
117,205,89,2.835691103002037e-5,,
52,232,68,2.000911020981913e-5,,
38,68,224,2.000698141111936e-5,,
189,77,16,2.0004255912326612e-5,,
54,179,116,2.0001001588632922e-5,,
222,179,48,2.0001001588632922e-5,,
134,116,27,2.0000765840142318e-5,,
132,27,183,2.000029909630068e-5,,
229,71,225,1.0003198430760461e-5,,
49,16,102,1.000180368570354e-5,,
65,224,197,1.0001644515760979e-5,,
234,224,143,1.000155435833381e-5,,
62,221,139,1.0001522490433458e-5,,
6,29,98,1.0001520987677676e-5,,
157,250,209,1.0001493299026749e-5,,
237,114,90,1.0001473885394362e-5,,
64,153,201,1.0001427828880158e-5,,
74,154,44,1.0001410823803116e-5,,
