bus,vA_pu,vB_pu,vC_pu,vmin_pu,vmax_pu,distance_km,under_vmin,over_vmax
13604669,1.003282397498568,1.006177350245717,1.0102320113122165,1.003282397498568,1.0102320113122165,0.036686199999999995,false,false
13624263,1.003282397498568,1.0061516535337367,1.0102320113122165,1.003282397498568,1.0102320113122165,0.03712019999999999,false,false
12952964,1.003284921849032,1.0054611608637651,1.01045786363568,1.003284921849032,1.01045786363568,0.040383199999999994,false,false
11627664,1.003284921849032,1.0054279799483616,1.01045786363568,1.003284921849032,1.01045786363568,0.04094319999999999,false,false
13357779,1.003304432489458,1.0055300845052328,1.01045786363568,1.003304432489458,1.01045786363568,0.03985519999999999,false,false
13601746,1.0033381021197414,1.0055285726577612,1.0104583252389856,1.0033381021197414,1.0104583252389856,0.039809199999999996,false,false
12973244,1.0033401774707762,1.0055300845052328,1.01045786363568,1.0033401774707762,1.01045786363568,0.039253199999999995,false,false
13623117,1.0033998089324159,1.0062740490773636,1.0102320113122165,1.0033998089324159,1.0102320113122165,0.034862199999999996,false,false
13623088,1.0033998089324159,1.0062740490773636,1.0102320113122165,1.0033998089324159,1.0102320113122165,0.0344412,false,false
9790970,1.0033998089324159,1.0062740490773636,1.0102320113122165,1.0033998089324159,1.0102320113122165,0.035882199999999996,false,false
10484937,1.0034125152684645,1.0062617707238053,1.0102320113122165,1.0034125152684645,1.0102320113122165,0.0345632,false,false
12725183,1.0034125152684645,1.0063916701153621,1.0102320113122165,1.0034125152684645,1.0102320113122165,0.033163200000000004,false,false
12973133,1.003441393153646,1.0056142580221936,1.01045786363568,1.003441393153646,1.01045786363568,0.037873199999999996,false,false
10915895,1.003441393153646,1.005523206248325,1.01045786363568,1.003441393153646,1.01045786363568,0.038773199999999994,false,false
11410018,1.003441393153646,1.005587006582089,1.01045786363568,1.003441393153646,1.01045786363568,0.0383332,false,false
13623087,1.0035069492626265,1.0063274391291526,1.0102320113122165,1.0035069492626265,1.0102320113122165,0.032981199999999995,false,false
13601748,1.003557535433256,1.005900771220787,1.01045786363568,1.003557535433256,1.01045786363568,0.035298199999999995,false,false
11068335,1.0035823982673167,1.0058533457143048,1.01045786363568,1.0035823982673167,1.01045786363568,0.035708199999999995,false,false
12971810,1.0036224830759772,1.005900771220787,1.01045786363568,1.0036224830759772,1.01045786363568,0.034945199999999996,false,false
12972223,1.0036467645847515,1.0058372642471953,1.01045786363568,1.0036467645847515,1.01045786363568,0.0352322,false,false
12972035,1.0036467645847515,1.0058533457143048,1.01045786363568,1.0036467645847515,1.01045786363568,0.0350732,false,false
11113663,1.0036467645847515,1.0057949871884144,1.01045786363568,1.0036467645847515,1.01045786363568,0.0356502,false,false
