bus,vA,vB,vC,vmin,vmax
11983736,251.33778169140737,248.5388316432648,249.3070567009683,248.5388316432648,251.33778169140737
12725180,251.36508986979484,248.5388316432648,249.3070567009683,248.5388316432648,251.36508986979484
13363297,251.3508749997849,248.5388316432648,249.3070567009683,248.5388316432648,251.3508749997849
12725183,251.54485413621867,248.5388316432648,249.3070567009683,248.5388316432648,251.54485413621867
16875458,251.34566891217452,248.5388316432648,249.3070567009683,248.5388316432648,251.34566891217452
10803945,251.4670204399419,248.5388316432648,249.3070567009683,248.5388316432648,251.4670204399419
11978903,251.4031473378202,248.5388316432648,249.3070567009683,248.5388316432648,251.4031473378202
12725181,251.47853624892346,248.5388316432648,249.3070567009683,248.5388316432648,251.47853624892346
10956350,251.2974585434774,248.5388316432648,249.3070567009683,248.5388316432648,251.2974585434774
10628787,251.33618115298984,248.53922114812366,249.3074576687054,248.53922114812366,251.33618115298984
9369084,251.61990009863047,248.55295937702886,249.3070567009683,248.55295937702886,251.61990009863047
9369083,251.61909239523484,248.55384896570158,249.3070567009683,248.55384896570158,251.61909239523484
17874063,251.62336857741488,248.55471396589982,249.3070567009683,248.55471396589982,251.62336857741488
13485934,251.62336857741488,248.55471396589982,249.3070567009683,248.55471396589982,251.62336857741488
9290728,251.78592239643822,248.55866958323202,249.3547205123906,248.55866958323202,251.78592239643822
9369082,251.64791438278402,248.5618087300932,249.30396610392168,248.5618087300932,251.64791438278402
17855763,251.8715590209198,248.60494105482204,249.3547205123906,248.60494105482204,251.8715590209198
9290727,251.8737129010148,248.60621430374775,249.3543249932411,248.60621430374775,251.8737129010148
12934967,251.89245992101837,248.617296563789,249.3508825171841,248.617296563789,251.89245992101837
9783449,251.89245992101837,248.617296563789,249.3508825171841,248.617296563789,251.89245992101837
13812808,251.88808178298882,248.62272587465696,249.3491960736917,248.62272587465696,251.88808178298882
14963904,251.9016441535674,248.62272587465696,249.3491960736917,248.62272587465696,251.9016441535674
13624269,251.88707976835093,248.62786644022546,249.34759935627466,248.62786644022546,251.88707976835093
12934968,251.91378508968108,248.62786644022546,249.34759935627466,248.62786644022546,251.91378508968108
11729147,252.04638189575044,248.64548886338847,249.3354043130203,248.64548886338847,252.04638189575044
10652242,251.94588880864237,248.64690869202093,249.34168492813714,248.64690869202093,251.94588880864237
12958003,251.97151993266763,248.64690869202093,249.34168492813714,248.64690869202093,251.97151993266763
11278631,252.37337266993924,248.64966941127534,249.29895322480704,248.64966941127534,252.37337266993924
13572881,252.37337266993924,248.65161376103754,249.29895322480704,248.65161376103754,252.37337266993924
16419830,252.37337266993924,248.6650288556057,249.29895322480704,248.6650288556057,252.37337266993924
12958438,252.04638189575044,248.66713164527374,249.3354043130203,248.66713164527374,252.04638189575044
13485931,251.95670669987777,248.67540042904108,249.30396610392168,248.67540042904108,251.95670669987777
13357796,251.93171494812506,248.67540042904108,249.30396610392168,248.67540042904108,251.93171494812506
12993673,252.06543636395872,248.6757731880842,249.33380578262984,248.6757731880842,252.06543636395872
9783458,252.37337266993924,248.67693519296893,249.29895322480704,248.67693519296893,252.37337266993924
12970257,252.37337266993924,248.67693519296893,249.29895322480704,248.67693519296893,252.37337266993924
12993671,252.0719075091693,248.6793150472921,249.3343507295868,248.6793150472921,252.0719075091693
9783454,252.08070372840265,248.6833042841642,249.33361280562613,248.6833042841642,252.08070372840265
12958923,252.08070372840265,248.6833042841642,249.33361280562613,248.6833042841642,252.08070372840265
16670850,252.37337266993924,248.68514148216616,249.29895322480704,248.68514148216616,252.37337266993924
12317602,252.41329806565852,248.6888475439432,249.29538766461155,248.6888475439432,252.41329806565852
14711416,252.4131099680712,248.68966808628358,249.29598338328645,248.68966808628358,252.4131099680712
14755909,252.4131099680712,248.68966808628358,249.29598338328645,248.68966808628358,252.4131099680712
13714731,252.4123959474373,248.69278302119713,249.29824480866515,248.69278302119713,252.4123959474373
14746714,252.41220237042137,248.69362744951633,249.29885787157266,248.69362744951633,252.41220237042137
13457819,252.41210741047178,248.6940417060242,249.2991586212052,248.6940417060242,252.41210741047178
9739976,252.41210741047178,248.6940417060242,249.2991586212052,248.6940417060242,252.41210741047178
13601753,252.08670753056185,248.6970639403443,249.33106761227378,248.6970639403443,252.08670753056185
12959135,252.11104349612592,248.6970639403443,249.33106761227378,248.6970639403443,252.11104349612592
12934954,252.04237901716633,248.69784192715085,249.36122096127838,248.69784192715085,252.04237901716633
12934965,252.0450201858102,248.69784192715085,249.36122096127838,248.69784192715085,252.0450201858102
12970287,252.04682469410682,248.69784192715085,249.36122096127838,248.69784192715085,252.04682469410682
